coord_op_method_code,coord_op_method_name,reverse_op,formula,example,remarks,information_source,data_source,revision_date,change_id,deprecated
1024,Popular Visualisation Pseudo Mercator,1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶This method is utilised by some popular web mapping and visualisation applications. It applies standard Mercator (Spherical) formulas (method code 1026) to ellipsoidal coordinates and the sphere radius is taken to be the semi-major axis of the ellipsoid. This approach only approximates to the more rigorous application of ellipsoidal formulas to ellipsoidal coordinates (as given in EPSG dataset coordinate operation method codes 9804 and 9805).  Unlike either the spherical or ellipsoidal Mercator projection methods, this method is not conformal: scale factor varies as a function of azimuth, which creates angular distortion. Despite angular distortion there is no convergence in the meridian. ¶¶The formulas to derive projected Easting and Northing coordinates from ellipsoidal latitude (lat) and longitude (lon) first derive the radius of the sphere (R) from:¶	R = a¶¶Then applying spherical Mercator formulae:¶¶	E = FE + R(lon - lonO)              ¶	N = FN + R ln[tan(pi/4 + lat/2)]                   ¶where FE and FN are false easting and false nothing at the projection origin, other symbols are as listed above and logarithms are natural.¶¶If latitude lat = 90º, N is infinite. The above formula for N will fail near to the pole, and should not be used poleward of 88º.¶¶The reverse formulas to derive latitude and longitude on the sphere from E and N values are:¶	D = -(N-FN)/R = (FN-N)/R¶	lat = pi/2 - 2 atan(e^D) where e=base of natural logarithms, 2.7182818...¶	lon = [(E - FE)/R] + lonO¶¶¶If q_alpha is the scale factor at a given azimuth alpha, it is a function of R', the radius of curvature at that azimuth derived from:¶	R' = rho nu / (nu cos^2alpha + rho sin^2alpha)¶	q_alpha = R / (R' cos lat)¶where rho and nu are the radii of curvature of the ellipsoid at latitude lat in the plane of the meridian and perpendicular to the meridian respectively;¶rho = a(1 - e^2)/(1 - e^2 sin^2(lat))^3/2¶nu = a /(1 - e^2 sin^2(lat))^1/2¶¶Then when the azimuth is 0º, 180º, 90º or 270º the scale factors in the meridian (h) and on the parallel (k) are:¶	q_0 = q_180  = h = R / (rho cos(lat))¶	q_90 = q_270 = k = R / (nu cos(lat))¶which demonstrates the non-conformallity of the Pseudo Mercator method.¶¶Maximum angular distortion omega is a function of latitude and is found from:¶	omega = 2 asin{[ABS(h - k)] / (h + k)}","For Projected Coordinate Reference System: WGS 84 / Pseudo-Mercator¶¶Parameters:¶Ellipsoid:	WGS 84	a = 6378137.0 metres		1/f = 298.2572236¶			¶Latitude of natural origin (latO) = 0°00'00.000""N = 0.0 rad¶Longitude of natural origin (lonO) = 0°00'00.000""E = 0.0 rad¶False easting (FE) = 0.00 metres	¶False northing (FN) = 0.00 metres	¶¶Forward calculation for the same coordinate values as used for the Mercator (1SP) (Spherical) example (method code 9841): ¶Latitude (lat) = 24°22'54.433""N	= 0.425542460 rad¶Longitude (lon) = 100°20'00.000""W = -1.751147016 rad¶¶	R  = 6378137.0¶whence ¶	E = -11 169 055.58 m¶	N =   2 800 000.00 m¶and ¶	h  = 1.1034264¶	k  = 1.0972914¶	omega = 0°19'10.01""¶¶¶Reverse calculation for a point 10km north on the grid (-11 169 055.58 m E, 2 810 000.00m N) first gives:¶	D = -0.44056752¶¶Then	Latitude (lat) = 0.426970023 rad = 24°27'48.889""N¶	Longitude (lon) = -1.751147016 rad = 100°20'00.000""W",Applies spherical formulas to the ellipsoid. As such does not have the properties of a true Mercator projection.,OGP Guidance Note 7-2,OGP,2009-05-21,2008.114 2009.023,0
1025,Geographic3D to GravityRelatedHeight (EGM2008),0,"This transformation involves the application of a geoid-ellipsoid separation value interpolated from a geoid model. The model provides separation values at the nodes on a regular grid of latitude and longitude intersection points. The geodetic latitude and longitude used to interpolate within the grid are not affected by this transformation.¶¶The grid is referenced to a specific geographic CRS (the source CRS) and interpolation must be made in this system.¶¶Calculation of the separation is achieved through a bi-linear interpolation of the grid, using the latitude and longitude of the point. This step provides the geoid-ellipsoid separation (N) above the ellipsoid of the source Geographic 3D CRS.¶¶Then:¶           H = h - N¶¶where h = the height above the ellipsoid in the source geographic 3D CRS¶and     H = the geoid height in the target vertical CRS.",(none),"For earlier EGM84 and EGM96 models see Geographic3D to GravityRelatedHeight (EGM), method code 9661.","EPSG guidance note #7-2, http://www.epsg.org",OGP,2009-01-30,2008.097,0
1026,Mercator (Spherical),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶The formulas to derive projected Easting and Northing coordinates from spherical latitude lat and longitude lon are:¶	E = FE   R (lon - lonO)              ¶	N = FN   R ln[tan(pi/4   lat/2)]                   ¶where lonO is the longitude of natural origin and FE and FN are false easting and false nothing.¶¶R is the radius of the sphere and will normally be one of the CRS parameters. If the figure of the earth used is an ellipsoid rather than a sphere then R should be calculated as the radius of the conformal sphere at the projection origin at latitude latO using the formula for Rc given in GN7-2 section 1.2, table 3. Note however that if applying spherical formula to ellipsoidal coordinates, the projection properties are not preserved.¶¶If latitude lat = 90º, N is infinite. The above formula for N will fail near to the pole, and should not be used poleward of 88º.¶¶The reverse formulas to derive latitude and longitude on the sphere from E and N values are:¶	D = -(N - FN)/R = (FN - N)/R¶	lat = pi/2 -  2 atan(e^D) where e=base of natural logarithms, 2.7182818...¶	lon = [(E - FE)/R] + lonO¶¶Note that in these formulas, the parameter latitude of natural origin (*O) is not used. However for the Merctor (Spherical) method, for completeness in CRS labelling the EPSG dataset includes this parameter, which must have a value of zero.","For Projected Coordinate Reference System: World Spherical Mercator (Note: CRS not in EPSG dataset)¶¶Parameters:¶Sphere:	R = 6371007.0 metres¶			¶Latitude of natural origin (latO) = 0°00'00.000""N = 0.0 rad¶Longitude of natural origin (lonO) = 0°00'00.000""E = 0.0 rad¶False easting (FE) = 0.00 metres	¶False northing (FN) = 0.00 metres	¶¶Forward calculation for: ¶Latitude (lat) = 24°22'54.433""N	= 0.425542460 rad¶Longitude (lon) = 100°20'00.000""W = -1.751147016 rad¶¶whence ¶	E = -11 156 569.90 m¶	N =   2 796 869.94 m¶¶Reverse calculation for the same point (-11 156 569.90 m E, 2 796 869.94m N) first gives:¶	D = -0.438999665¶¶Then	Latitude (lat) = 0.425542460 rad = 24°22'54.433""N¶	Longitude (lon) = -1.751147016 rad = 100°20'00.000""W",,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2009-05-21,2008.114 2009.023,0
1027,Lambert Azimuthal Equal Area (Spherical),1,"See information source.¶¶R is the radius of the sphere and will normally be one of the CRS parameters. If the figure of the earth used is an ellipsoid rather than a sphere then R should be calculated as the radius of the authalic sphere using the formula for RA given in EPSG GN7-2 section 1.2, table 3. Note however that if applying spherical formula to ellipsoidal coordinates, the authalic projection properties are not preserved.",See information source.,This is the spherical form of the projection.  See coordinate operation method Lambert Azimuthal Equal Area (code 9820) for ellipsoidal form.  Differences of several tens of metres result from comparison of the two methods.,"USGS Professional Paper 1395, ""Map Projections - A Working Manual"" by John P. Snyder.",OGP,2009-05-21,2009.007 2009.023,0
1028,Equidistant Cylindrical,1,See EPSG Guidance Note #7-2.,See EPSG Guidance Note #7-2.,"See method code 1029 for spherical development. See also Pseudo Plate Carree, method code 9825.",ESRI,OGP,2009-05-20,2009.023,0
1029,Equidistant Cylindrical (Spherical),1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶This method has one of the simplest formulas available. If the latitude of natural origin (lat1) is at the equator the method is also known as Plate Carrée. It is not used for rigorous topographic mapping because its distortion characteristics are unsuitable. Formulas are included to distinguish this map projection method from an approach sometimes mistakenly called by the same name and used for simple computer display of geographic coordinates - see Pseudo Plate Carrée (coordinate operation method code 9825).¶¶For the forward calculation:¶¶E =  FE + R . (lon - lonO) . cos(latO)¶N =  FN + R . lat¶¶where lat1, lonO, lat and lon are expressed in radians.¶¶R is the radius of the sphere and will normally be one of the CRS parameters. If the figure of the earth used is an ellipsoid rather than a sphere then R should be calculated as the radius of the conformal sphere at the projection origin at latitude *1 using the formula for RC given in section 1.2, table 3. Note however that if applying spherical formula to ellipsoidal coordinates, the equidistant projection properties are not preserved.¶¶For the reverse calculation:¶¶lat = (N - FN)/ R  ¶lon = lonO + ([E - FE] / R cos(lat1))¶¶where R is as for the forward method.",See information source.,"See method code 1028 for ellipsoidal development. If the latitude of natural origin is at the equator, also known as Plate Carrée. See also Pseudo Plate Carree, method code 9825.","US Geological Survey Professional Paper 1395; ""Map Projections - A Working Manual"";  J. Snyder.",OGP,2009-05-20,2009.023,0
9601,Longitude rotation,1,Target_longitude = Source_longitude + longitude_offset.,(none),This transformation allows calculation of the longitude of a point in the target system by adding the parameter value to the longitude value of the point in the source system.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,1999-11-12,1999.790,0
9602,Geographic/geocentric conversions,1,"Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶Latitude, P, and Longitude, L, in terms of Geographic Coordinate Reference System A may ¶be expressed in terms of a geocentric (earth centred) Cartesian coordinate reference system X, Y, Z ¶with the Z axis corresponding with the Polar axis positive northwards, the X axis through ¶the intersection of the Greenwich meridian and equator, and the Y axis through the ¶intersection of the equator with longitude 90 degrees E. If the prime meridian for geogCRS A is not ¶Greewich, longitudes must first be transformed to their Greenwich equivalent. If the earth's ¶spheroidal semi major axis is a, semi minor axis  b, and inverse flattening 1/f,  then¶¶   X =   (nu + h) cos P cos L¶   Y =   (nu + h) cos P sin L¶   Z =  ((1 - e^2) nu + h) sin P¶¶where nu is the prime vertical radius of curvature at latitude P and is equal to ¶   nu = a /(1 - e^2*sin^2(P))^0.5,¶   P and L are respectively the latitude and longitude (related to Greenwich) of the point ¶   h is height above the ellipsoid, (topographic height plus geoidal height), and¶   e is the eccentricity of the ellipsoid where e^2 = (a^2 -b^2)/a^2 = 2f -f^2¶                                                                                                                                                 ¶Cartesian coordinates in geocentric coordinate reference system B may be used to derive geographical coordinates in terms of geographic coordinate reference system B by:¶           ¶P = atan[(Z + eta b sin^3 q) / (p  e^2 a cos^3 q)]¶L  = atan (Y/X)¶¶where¶eta = e^2 / (1  e^2)¶b = a(1  f)¶p = (X^2 + Y^2)^0.5¶q = atan[(Z a) / (p b)]¶¶and where L is relative to Greenwich. If the geographic system has a non Greenwich prime meridian, the Greenwich value of the local prime meridian should be applied to longitude.¶¶Then¶  	h (p / cos P)  nu¶¶(Note that h is the height above the ellipsoid. This is the height value which is delivered by Transit and GPS satellite observations but is not the topographic height value which is normally used for national mapping and levelling operations. The topographic height is usually the height above mean sea level or an alternative ¶level reference for the country. If one starts with a topographic height,  it will be necessary to convert it to an ellipsoid height before using the above transformation formulas. h = N + H, where N is the geoid height above the ellipsoid at the point and is sometimes negative, and H is the height of the point above the geoid. The height above the geoid is often taken to be that above mean sea level, perhaps with a constant correction applied. Geoid heights of points above the nationally used ellipsoid may not be readily available. For the WGS84 ellipsoid the value of N, ¶representing the height of the geoid relative to the ellipsoid, can vary between values of -100m in the Sri Lanka area to +80m in the North Atlantic.)","Consider a North Sea point with coordinates derived by GPS satellite in the WGS 84 geographical coordinate system with coordinates of:¶¶           latitude    53 deg 48 min 33.82 sec N, ¶           longitude 02 deg 07 min 46.38 sec E, ¶    and ellipsoidal height 73.0m, ¶¶whose coordinates are required in terms of the ED50 geographical coordinate system which takes the International 1924 ellipsoid. The three parameter datum shift from WGS 84 to ED50 for this North Sea area is given as dX = +84.87m, dY = +96.49m, dZ = +116.95m. ¶¶The WGS 84 geographical coordinates convert to the following geocentric values using the above formulas for X, Y, Z:¶¶   XA = 3771 793.97m¶   YA =   140 253.34m¶   ZA = 5124 304.35m¶¶Applying the quoted datum shifts to these, we obtain new geocentric values now related to ED50:¶¶   XB = 3771 878.84m¶   YB =   140 349.83m¶   ZB = 5124 421.30m¶¶These convert to ED50 values on the International 1924 ellipsoid as:¶           latitude    53 deg 48 min 36.565 sec N, ¶           longitude 02 deg 07 min 51.477 sec E, ¶    and ellipsoidal height 28.02 m, ¶¶Note that the derived height is referred to the International 1924 ellipsoidal surface and will need a further correction for the height of the geoid at this point in order to relate it to Mean Sea Level.","This is a parameter-less conversion. In applications it is often concatenated with the 3- 7- or 10-parameter transformations 9603, 9606, 9607 or 9636 to form a geographic to geographic transformation.","EPSG guidance note #7-2, http://www.epsg.org, from ""Datums and Map Projections""; Iliffe and Lott (2007).",OGP,2007-11-01,1997.290 2002.510 2004.330 2007.058,0
9603,Geocentric translations,1,Note: These formulas have been transcribed from EPSG Guidance Note #7-2. Users are encouraged to use that document rather than the text which follows as reference because limitations in the transcription will be avoided.¶¶Xt = Xs + dX;  Yt = Ys + dY;  Zt = Zs + dZ,"Given a three parameter datum shift from WGS 84 to ED50 for this North Sea area is given as ¶dX = +84.87m, dY = +96.49m, dZ = +116.95m. ¶¶The WGS84 geographical coordinates convert to the following WGS 84 geocentric values using ¶the above formulas for X, Y, Z:¶¶   XA = 3771 793.97m¶   YA =   140 253.34m¶   ZA = 5124 304.35m¶¶Applying the given datum shifts to these, we obtain new geocentric values now related ¶to ED50:¶¶   XB = 3771 878.84m¶   YB =   140 349.83m¶   ZB = 5124 421.30m",This transformation allows calculation of coordinates in the target system by adding the parameter value to the corresponding coordinate values of the point in the source system.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,1996-09-18,,0
9604,Molodensky,1,See information source.,(none),See Abridged Molodensky.,"EPSG guidance note #7-2, http://www.epsg.org",OGP,2004-08-25,2004.470,0
