"ALIAS CODE","OBJECT_TABLE_NAME","OBJECT_CODE","NAMING_SYSTEM_CODE","ALIAS","REMARKS"
4,Datum,6258,7300,ETRF89,
5,Ellipsoid,7013,7300,Modified Clarke 1880 (South Africa),The Clarke 1880 (Arc) figure is one of several modifications to the original definition.  The name Clarke Modified is usually taken to be the RGS modification.  But in southern Africa it is usually taken to be the Arc or Cape modification.
6,Coordinate_Operation,8570,7300,ED50 to EUREF89 (2),
7,Unit of Measure,9001,7300,meter,
8,Unit of Measure,9036,7300,kilometer,Spelling used in US
9,Coordinate Reference System,21100,7300,Genuk / NEIEZ,
10,Coordinate_Operation,1036,7301,OSTN97,
11,Coordinate_Operation,1123,7301,Genuk to WGS 84 (1),
12,Coordinate_Operation,1149,7301,ETRF89 to WGS 84 (1),
13,Coordinate_Operation,1273,7301,HD72 to ETRF89 (1),
14,Coordinate_Operation,1309,7301,DHDN to ETRF89 (1),
15,Coordinate_Operation,1310,7301,Pulkovo 1942 to ETRF89 (1),
16,Coordinate_Operation,1311,7301,ED50 to WGS 84 (18),
17,Coordinate_Operation,1331,7301,EST92 to ETRF89 (1),
19,Coordinate_Operation,1513,7301,Final Datum 1958 to WGS 84 (1),
20,Coordinate_Operation,1571,7301,Amersfoort to ETRF89 (1),
21,Coordinate_Operation,1584,7301,Levant to WGS 72BE (1),
22,Coordinate_Operation,1585,7301,Levant to WGS 84 (2),
23,Coordinate_Operation,1586,7301,Levant to WGS 84 (3),
24,Coordinate_Operation,1587,7301,Levant to WGS 84 (4),
26,Coordinate_Operation,1589,7301,ED50 to ETRF89 (3),
28,Coordinate_Operation,1611,7301,IRENET95 to ETRF89 (1),
29,Coordinate Reference System,2140,7301,NAD83(CSRS98) / SCoPQ zone 3,
30,Coordinate Reference System,2141,7301,NAD83(CSRS98) / SCoPQ zone 4,
31,Coordinate Reference System,2142,7301,NAD83(CSRS98) / SCoPQ zone 5,
32,Coordinate Reference System,2143,7301,NAD83(CSRS98) / SCoPQ zone 6,
33,Coordinate Reference System,2144,7301,NAD83(CSRS98) / SCoPQ zone 7,
34,Coordinate Reference System,2145,7301,NAD83(CSRS98) / SCoPQ zone 8,
35,Coordinate Reference System,2146,7301,NAD83(CSRS98) / SCoPQ zone 9,
36,Coordinate Reference System,2147,7301,NAD83(CSRS98) / SCoPQ zone 10,
37,Coordinate Reference System,2159,7301,Sierra Leone 1924 / Peninsular Grid,
38,Coordinate Reference System,2291,7301,NAD83 / PEI Stereo,
39,Coordinate Reference System,3200,7301,Final Datum 1958 / Iraq zone,
40,Coordinate Reference System,4132,7301,Final Datum 1958 (Iran),
41,Coordinate Reference System,4140,7301,NAD83(CSRS),
42,Coordinate Reference System,4172,7301,National Geodetic System [Argentina],see http://www.igm.gov.ar/posgar.html
43,Coordinate Reference System,4211,7301,Genuk,
44,Datum,4218,7301,Bogota,
45,Coordinate Reference System,4227,7301,Levant,
46,Coordinate Reference System,4258,7301,ETRF89,
47,Coordinate Reference System,4272,7301,GD49,
48,Coordinate Reference System,4813,7301,Genuk (Jakarta),
49,Datum,5104,7301,Huang Hai 1956,
50,Datum,6120,7301,Old Greek,"Adjective ""Old"" applied since introduction of GGRS87 (code 6121)"
51,Datum,6125,7301,Samboja P2 exc T9,
52,Datum,6160,7301,Quini-Huao,
53,Datum,6174,7301,Sierra Leone Peninsular 1924,
54,Datum,6211,7301,Genuk,
55,Datum,6218,7301,Bogota,
56,Datum,6222,7301,South Africa,
57,Datum,6227,7301,Levant,
58,Datum,6258,7301,European Terrestrial Reference Frame 1989,
59,Datum,6269,7301,NAD83 (1986),
60,Datum,6272,7301,GD49,
61,Datum,6308,7301,Rikets koordinatsystem 1938,
62,Ellipsoid,7012,7301,Clarke Modified 1880,The Clarke 1880 (RGS) figure is one of several modifications to the original definition.  The name Clarke Modified is usually taken to be the RGS modification.
63,Ellipsoid,7013,7301,Clarke 1880 (Cape),
64,Ellipsoid,7019,7301,International 1979,Adopted by IUGG 1979 Canberra as the Geodetic Reference Spheroid of 1980 (GRS 1980).
65,Ellipsoid,7022,7301,Hayford 1909,Described as a=6378388 m. and b=6356909 m. from which 1/f derived to be 296.95926...   The figure was adopted as the International ellipsoid in 1924 but with 1/f taken as 297 exactly from which b is derved as 6356911.946 m.
66,Ellipsoid,7029,7301,McCaw 1924,
67,Ellipsoid,7030,7301,WGS84,
68,Ellipsoid,7036,7301,International 1967,More usually known as GRS 1967 to avoid confusion with the International 1924 figure.
69,Ellipsoid,7043,7301,NWL 10D,Used by Transit Broadcast Ephemeris before 1989. Also referred to as WGS72 spheroid.
70,Coordinate_Operation,8568,7301,Levant to WGS 84 (1),
71,Coordinate_Operation,8570,7301,ED50 to ETRF89 (2),
72,Coordinate_Operation Parameter,8602,7301,Longitude rotation,
73,Prime Meridian,8913,7301,Kristiania,
74,Unit of Measure,9001,7301,International metre,
75,Unit of Measure,9002,7301,international foot,
76,Unit of Measure,9003,7301,American foot,
77,Unit of Measure,9005,7301,South African geodetic foot,Not to be confused with the Cape foot.
78,Unit of Measure,9030,7301,International nautical mile,
79,Unit of Measure,9039,7301,link (Clarke's ratio),
80,Unit of Measure,9040,7301,yard,
81,Unit of Measure,9041,7301,foot,
82,Unit of Measure,9042,7301,chain,
83,Unit of Measure,9043,7301,link,
84,Unit of Measure,9050,7301,yard,
85,Unit of Measure,9051,7301,foot,
86,Unit of Measure,9052,7301,chain,
87,Unit of Measure,9053,7301,link,
88,Unit of Measure,9060,7301,yard,
89,Unit of Measure,9061,7301,foot,
90,Unit of Measure,9062,7301,chain,
91,Unit of Measure,9063,7301,link,
92,Unit of Measure,9070,7301,foot,
93,Unit of Measure,9080,7301,Indian geodetic foot,
94,Unit of Measure,9081,7301,Indian geodetic foot,
95,Unit of Measure,9084,7301,yard,= 3 Indian feet.
96,Unit of Measure,9085,7301,yard,= 3 Indian feet.
97,Unit of Measure,9094,7301,foot,
