area_code,area_name,area_of_use,area_south_bound_lat,area_north_bound_lat,area_west_bound_lon,area_east_bound_lon,area_polygon_file_ref,iso_a2_code,iso_a3_code,iso_n_code,remarks,information_source,data_source,revision_date,change_id,deprecated
1024,Afghanistan,Afghanistan.,29.41,38.5,60.54,74.96,,AF,AFG,4,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1025,Albania,Albania - onshore and offshore.,39.67,42.69,18.45,21.06,,AL,ALB,8,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1026,Algeria,Algeria - onshore and offshore.,18.98,37.09,-8.67,11.99,,DZ,DZA,12,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1027,American Samoa,American Samoa - onshore and offshore.,-17.56,-10.02,-173.75,-165.2,,AS,ASM,16,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1028,Andorra,Andorra.,42.49,42.66,1.49,1.77,,AD,AND,20,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1029,Angola,Angola - onshore and offshore.,-18.05,-4.39,8.4,24.1,,AO,AGO,24,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1030,Anguilla,Anguilla - onshore and offshore.,17.95,21.93,-63.9,-60.68,,AI,AIA,660,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1031,Antarctica,Antarctica.,-90,-60,-180,180,,AQ,ATA,10,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1032,Antigua and Barbuda,"Antigua and Barbuda - Antigua, Barbuda and Redonda.",16.61,20.87,-62.75,-58.37,,AG,ATG,28,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1033,Argentina,Argentina - onshore and offshore.,-58.4,-21.78,-73.58,-52.63,,AR,ARG,32,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2011.037,0
1034,Armenia,Armenia.,38.86,41.33,43.48,46.65,,AM,ARM,51,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1035,Aruba,Aruba - onshore and offshore.,12.15,15.41,-70.42,-69.31,,AW,ABW,533,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2011.037,0
1036,Australia,"Australia - onshore and offshore. Includes Lord Howe Island, Macquarie Islands, Ashmore and Cartier Islands.",-60.04,-8.86,110.77,174.1,,AU,AUS,36,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1037,Austria,Austria.,46.41,49.02,9.53,17.17,,AT,AUT,40,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1038,Azerbaijan,Azerbaijan - onshore and offshore.,38.41,41.94,44.82,50.41,,AZ,AZE,31,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1039,Bahamas,Bahamas - onshore and offshore.,20.37,30.36,-81.22,-70.63,,BS,BHS,44,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1040,Bahrain,Bahrain - onshore and offshore.,25.57,27.18,50.3,51.41,,BH,BHR,48,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1041,Bangladesh,Bangladesh - onshore and offshore.,15.09,26.65,88.1,92.72,,BD,BGD,50,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1042,Barbados,Barbados - onshore and offshore.,10.68,16,-60.39,-56,,BB,BRB,52,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1043,Belarus,Belarus.,51.29,56.22,23.18,32.76,,BY,BLR,112,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1044,Belgium,Belgium - onshore and offshore.,49.53,51.83,2.12,6.4,,BE,BEL,56,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1045,Belize,Belize - onshore and offshore.,15.89,18.49,-89.22,-86.11,,BZ,BLZ,84,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1046,Benin,Benin - onshore and offshore.,2.68,12.4,0.78,3.86,,BJ,BEN,204,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2006/02/01,2002.341 2005.890,0
1047,Bermuda,Bermuda - onshore and offshore.,28.91,35.72,-68.83,-60.71,,BM,BMU,60,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
