parameter_code,parameter_name,description,information_source,data_source,revision_date,change_id,deprecated
1024,Cartesian coordinate programme file,The name of the programme file containing Cartesian coordinates in both source and target CRSs.,OGP,OGP,2010/03/30,2009.071 2010.037,0
1025,GNTRANS transformation identifier,Identifier for the subset of parameters stored inside the transformation programme.,OGP,OGP,2010/03/30,2010.037,0
1026,C1,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1027,C2,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1028,C3,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1029,C4,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1030,C5,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1031,C6,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1032,C7,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1033,C8,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1034,C9,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1035,C10,Coefficient used in polynomial transformations.,OGP,OGP,2010/07/31,2010.071,0
1036,Co-latitude of cone axis,"The rotation applied to spherical coordinates for the oblique projection, measured on the conformal sphere in the plane of the meridian of origin.",OGP,OGP,2010/12/06,2010.100,0
8601,Latitude offset,The difference between the latitude values of a point in the target and source coordinate reference systems.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8602,Longitude offset,The difference between the longitude values of a point in the target and source coordinate reference systems.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8603,Vertical Offset,The difference between the height or depth values of a point in the target and source coordinate reference systems.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8604,Geoid undulation,"The height offset. ""Geoid undulation"" is used loosely in the parameter name. If the offset is between the ellipsoid and the geoid then the offset will be the geoid separation N. When the offset is between the ellipsoid and a realisation of the geoid through a vertical datum then the offsets C will form a height correction surface. A height correction surface differs from a geoid model by small amounts due to the difference between the geoid and the actual datum surface as well as some other assumptions regarding the gravity field.",EPSG guidance note number 7.,OGP,2008/04/11,2008.010,0
8605,X-axis translation,The difference between the X values of a point in the target and source coordinate reference systems.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8606,Y-axis translation,The difference between the Y values of a point in the target and source coordinate reference systems.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8607,Z-axis translation,The difference between the Z values of a point in the target and source coordinate reference systems.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8608,X-axis rotation,"The angular difference between the Y and Z axes directions of target and source coordinate reference systems. This is a rotation about the X axis as viewed from the origin looking along that axis. The particular method defines which direction is positive, and what is being rotated (point or axis).",EPSG guidance note number 7.,OGP,2000/06/23,,0
8609,Y-axis rotation,"The angular difference between the X and Z axes directions of target and source coordinate reference systems. This is a rotation about theY axis as viewed from the origin looking along that axis. The particular method defines which direction is positive, and what is being rotated (point or axis).",EPSG guidance note number 7.,OGP,2000/06/23,,0
8610,Z-axis rotation,"The angular difference between the X and Y axes directions of target and source coordinate reference systems. This is a rotation about the Z axis as viewed from the origin looking along that axis. The particular method defines which direction is positive, and what is being rotated (point or axis).",EPSG guidance note number 7.,OGP,2000/06/23,,0
8611,Scale difference,"The scale difference increased by unity equals the ratio of an the length of an arbitrary distance between two points in target and source coordinate reference systems.  This is usually averaged for the intersection area of the two coordinate reference systems. 

If a distance of 100 km in the source coordinate reference system translates into a distance of 100.001 km in the target coordinate reference system, the scale difference is 1 ppm (the ratio being 1.000001).",EPSG guidance note number 7.,OGP,2000/06/23,,0
8612,Scale factor for source coordinate reference system first axis,"The unit of measure of the source coordinate reference system first axis, expressed in the unit of measure of the target coordinate reference system.",EPSG guidance note number 7.,OGP,2000/06/23,,0
8613,Scale factor for source coordinate reference system second axis,"The unit of measure of the source coordinate reference system second axis, expressed in the unit of measure of the target coordinate reference system",EPSG guidance note number 7.,OGP,2000/06/23,,0
8614,Rotation angle of source coordinate reference system axes,"Angle (counter-clockwise positive) through which both of the source coordinate reference system axes need to rotated to coincide with the corresponding target coordinate reference system axes.  

Alternatively, the bearing (clockwise positive) of the source coordinate reference system Y-axis measured relative to target coordinate reference system north.",EPSG guidance note number 7.,OGP,2000/06/23,,0
8615,Rotation angle of source coordinate reference system first axis,Angle (counter-clockwise positive) through which the source coordinate reference system's first axis needs to rotated to coincide with the corresponding axis of the target coordinate reference system.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8616,Rotation angle of source coordinate reference system second axis,Angle (counter-clockwise positive) through which the source coordinate reference system's second axis needs to rotated to coincide with the corresponding axis of the target coordinate reference system.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8617,Ordinate 1 of evaluation point,The value of the first ordinate value of the evaluation point.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8618,Ordinate 2 of evaluation point,The value of the second ordinate of the evaluation point.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8619,Ordinate 1 of evaluation point in source CRS,The value of the first ordinate of the evaluation point expressed in the source coordinate reference system.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8620,Ordinate 2 of evaluation point in source CRS,The value of the second ordinate of the evaluation point expressed in the source coordinate reference system.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8621,Ordinate 1 of evaluation point in target CRS,The value of the first ordinate of the evaluation point expressed in the target coordinate reference system.  In the case of an affine transformation the evaluation point is the origin of the source coordinate reference system.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8622,Ordinate 2 of evaluation point in target CRS,The value of the second ordinate of the evaluation point expressed in the target coordinate reference system.  In the case of an affine transformation the evaluation point is the origin of the source coordinate reference system.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8623,A0,Coefficient used in affine (general parametric) and polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8624,A1,Coefficient used in affine (general parametric) and polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8625,A2,Coefficient used in affine (general parametric) and polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8626,A3,Coefficient used in polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8627,A4,Coefficient used in polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8628,A5,Coefficient used in polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8629,A6,Coefficient used in polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8630,A7,Coefficient used in polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8631,A8,Coefficient used in polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,,0
8632,Au0v3,Coefficient used in polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,2003.200,0
8633,Au4v0,Coefficient used in polynomial transformations.,EPSG guidance note number 7.,OGP,2000/06/23,2003.200,0
