concat_operation_code,single_operation_code,op_path_step
3896,1618,2
3896,3895,1
3966,3913,1
3966,3962,2
4435,1461,1
4435,1495,2
4837,1311,2
4837,1672,1
5190,5134,1
5190,5189,2
5192,5134,1
5192,5191,2
5230,1884,1
5230,4836,2
5240,5227,2
5240,5238,1
5242,1884,1
5242,5239,2
8046,1043,1
8046,1146,2
8047,1146,2
8047,1147,1
8094,1193,2
8094,1763,1
8174,1125,2
8174,1755,1
8175,1169,2
8175,1262,1
8176,1227,2
8176,1265,1
8178,1123,2
8178,1759,1
8183,1149,2
8183,1273,1
8186,1276,2
8186,1763,1
8188,1277,2
8188,1763,1
8190,1150,2
8190,1278,1
8192,1150,2
8192,1279,1
8194,1150,2
8194,1280,1
8195,1149,2
8195,1437,1
8199,1274,1
8199,1283,2
8211,1266,1
8211,1294,2
8215,1297,1
8215,1302,2
8217,1298,1
8217,1302,2
8219,1299,1
8219,1302,2
8221,1300,1
8221,1302,2
8223,1301,1
8223,1302,2
8234,1149,2
8234,1309,1
8236,1149,2
8236,1310,1
8241,1026,1
8241,1145,2
8243,1188,2
8243,1312,1
8245,1188,2
8245,1313,1
8263,1306,2
8263,1757,1
8386,1188,2
8386,1454,1
8388,1188,2
8388,1455,1
8390,1188,2
8390,1456,1
8392,1188,2
8392,1457,1
8394,1188,2
8394,1451,1
8396,1150,2
8396,1458,1
8398,1150,2
8398,1459,1
8400,1150,2
8400,1460,1
8402,1188,2
8402,1461,1
8404,1188,2
8404,1462,1
8406,1188,2
8406,1463,1
8408,1150,2
8408,1464,1
8418,1472,1
8418,1473,2
8419,1473,2
8419,1599,1
8420,1473,2
8420,1600,1
8421,1473,2
8421,1601,1
8422,1473,2
8422,1602,1
8453,1150,2
8453,1506,1
8454,1150,2
8454,1507,1
8457,1509,1
8457,1511,2
8460,1241,1
8460,1474,2
8461,1241,1
8461,1475,2
8462,1241,1
8462,1476,2
8463,1241,1
8463,1477,2
8464,1241,1
8464,1478,2
8465,1241,1
8465,1479,2
8466,1241,1
8466,1480,2
8467,1241,1
8467,1481,2
8468,1241,1
8468,1482,2
8469,1241,1
8469,1483,2
8470,1241,1
8470,1484,2
8471,1241,1
8471,1485,2
8472,1241,1
8472,1486,2
8473,1241,1
8473,1487,2
8474,1241,1
8474,1488,2
8475,1241,1
8475,1489,2
8476,1241,1
8476,1490,2
8477,1241,1
8477,1491,2
8478,1241,1
8478,1492,2
8479,1241,1
8479,1493,2
8480,1241,1
8480,1494,2
8481,1241,1
8481,1495,2
8482,1496,2
8482,1747,1
8483,1241,1
8483,1497,2
8484,1241,1
