coord_ref_sys_code,coord_ref_sys_name,area_of_use_code,coord_ref_sys_kind,coord_sys_code,datum_code,source_geogcrs_code,projection_conv_code,cmpd_horizcrs_code,cmpd_vertcrs_code,crs_scope,remarks,information_source,data_source,revision_date,change_id,show_crs,deprecated
2000,Anguilla 1957 / British West Indies Grid,3214,projected,4400,,4600,19942,,,Large and medium scale topographic mapping and engineering survey.,,Ordnance Survey of Great Britain,OGP,2000/03/07,1999.740,1,0
2001,Antigua 1943 / British West Indies Grid,1273,projected,4400,,4601,19942,,,Large and medium scale topographic mapping and engineering survey.,,Ordnance Survey of Great Britain,OGP,2000/03/07,1999.740,1,0
2002,Dominica 1945 / British West Indies Grid,3239,projected,4400,,4602,19942,,,Large and medium scale topographic mapping and engineering survey.,,Ordnance Survey of Great Britain,OGP,2000/03/07,1999.740,1,0
2003,Grenada 1953 / British West Indies Grid,1551,projected,4400,,4603,19942,,,Large and medium scale topographic mapping and engineering survey.,,Ordnance Survey of Great Britain,OGP,2000/03/07,1999.740,1,0
2004,Montserrat 1958 / British West Indies Grid,3279,projected,4400,,4604,19942,,,Large and medium scale topographic mapping and engineering survey.,,Ordnance Survey of Great Britain,OGP,2000/03/07,1999.740,1,0
2005,St. Kitts 1955 / British West Indies Grid,3297,projected,4400,,4605,19942,,,Large and medium scale topographic mapping and engineering survey.,,Ordnance Survey of Great Britain,OGP,2006/02/03,1999.740 2006.060,1,0
2006,St. Lucia 1955 / British West Indies Grid,3298,projected,4400,,4606,19942,,,Large and medium scale topographic mapping and engineering survey.,,Ordnance Survey of Great Britain,OGP,2006/02/03,1999.740 2006.060,1,0
2007,St. Vincent 45 / British West Indies Grid,3300,projected,4400,,4607,19942,,,Large and medium scale topographic mapping and engineering survey.,,Ordnance Survey of Great Britain,OGP,2006/02/03,1999.740 2006.060,1,0
2008,NAD27(CGQ77) / SCoPQ zone 2,1420,projected,4499,,4609,17700,,,Large and medium scale topographic mapping and engineering survey.,,"Geodetic Service of Quebec; Quebec Ministry of Natural Resources.",OGP,2000/03/07,1999.740 2011.051,1,1
2009,NAD27(CGQ77) / SCoPQ zone 3,1446,projected,4499,,4609,17703,,,Large and medium scale topographic mapping and engineering survey.,,"Geodetic Service of Quebec; Quebec Ministry of Natural Resources.",OGP,2011/06/30,1999.740 2011.051,1,0
2010,NAD27(CGQ77) / SCoPQ zone 4,1422,projected,4499,,4609,17704,,,Large and medium scale topographic mapping and engineering survey.,,"Geodetic Service of Quebec; Quebec Ministry of Natural Resources.",OGP,2000/03/07,1999.740,1,0
2011,NAD27(CGQ77) / SCoPQ zone 5,1423,projected,4499,,4609,17705,,,Large and medium scale topographic mapping and engineering survey.,,"Geodetic Service of Quebec; Quebec Ministry of Natural Resources.",OGP,2000/03/07,1999.740,1,0
2012,NAD27(CGQ77) / SCoPQ zone 6,1424,projected,4499,,4609,17706,,,Large and medium scale topographic mapping and engineering survey.,,"Geodetic Service of Quebec; Quebec Ministry of Natural Resources.",OGP,2000/03/07,1999.740,1,0
2013,NAD27(CGQ77) / SCoPQ zone 7,1425,projected,4499,,4609,17707,,,Large and medium scale topographic mapping and engineering survey.,,"Geodetic Service of Quebec; Quebec Ministry of Natural Resources.",OGP,2000/03/07,1999.740,1,0
2014,NAD27(CGQ77) / SCoPQ zone 8,1426,projected,4499,,4609,17708,,,Large and medium scale topographic mapping and engineering survey.,,"Geodetic Service of Quebec; Quebec Ministry of Natural Resources.",OGP,2000/03/07,1999.740,1,0
2015,NAD27(CGQ77) / SCoPQ zone 9,1427,projected,4499,,4609,17709,,,Large and medium scale topographic mapping and engineering survey.,,"Geodetic Service of Quebec; Quebec Ministry of Natural Resources.",OGP,2000/03/07,1999.740,1,0
2016,NAD27(CGQ77) / SCoPQ zone 10,1428,projected,4499,,4609,17710,,,Large and medium scale topographic mapping and engineering survey.,,"Geodetic Service of Quebec; Quebec Ministry of Natural Resources.",OGP,2000/03/07,1999.740,1,0
2017,NAD27(76) / MTM zone 8,1429,projected,4499,,4608,17708,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2018,NAD27(76) / MTM zone 9,1430,projected,4499,,4608,17709,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2019,NAD27(76) / MTM zone 10,1431,projected,4499,,4608,17710,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2020,NAD27(76) / MTM zone 11,1432,projected,4400,,4608,17711,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2021,NAD27(76) / MTM zone 12,1433,projected,4400,,4608,17712,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2022,NAD27(76) / MTM zone 13,1434,projected,4400,,4608,17713,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2023,NAD27(76) / MTM zone 14,1435,projected,4400,,4608,17714,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2024,NAD27(76) / MTM zone 15,1436,projected,4400,,4608,17715,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2025,NAD27(76) / MTM zone 16,1437,projected,4400,,4608,17716,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2026,NAD27(76) / MTM zone 17,1438,projected,4400,,4608,17717,,,Large and medium scale topographic mapping and engineering survey.,,"Surveys and Mapping Section; Ontario Ministry of Transportation.",OGP,2000/03/07,1999.740,1,0
2027,NAD27(76) / UTM zone 15N,1439,projected,4400,,4608,16015,,,Large and medium scale topographic mapping and engineering survey.,Replaces NAD27 / UTM zone 15N (code 26715).,,OGP,2000/03/07,1999.740,1,0
2028,NAD27(76) / UTM zone 16N,1440,projected,4400,,4608,16016,,,Large and medium scale topographic mapping and engineering survey.,Replaces NAD27 / UTM zone 16N (code 26716).,,OGP,2000/03/07,1999.740,1,0
2029,NAD27(76) / UTM zone 17N,1441,projected,4400,,4608,16017,,,Large and medium scale topographic mapping and engineering survey.,Replaces NAD27 / UTM zone 17N (code 26717).,,OGP,2000/03/07,1999.740,1,0
2030,NAD27(76) / UTM zone 18N,1442,projected,4400,,4608,16018,,,Large and medium scale topographic mapping and engineering survey.,Replaces NAD27 / UTM zone 18N (code 26718).,,OGP,2000/03/07,1999.740,1,0
2031,NAD27(CGQ77) / UTM zone 17N,1428,projected,4400,,4609,16017,,,Large and medium scale topographic mapping and engineering survey.,Replaces NAD27 / UTM zone 17N (code 26717).,,OGP,2000/03/07,1999.740,1,0
2032,NAD27(CGQ77) / UTM zone 18N,1443,projected,4400,,4609,16018,,,Large and medium scale topographic mapping and engineering survey.,Replaces NAD27 / UTM zone 18N (code 26718).,,OGP,2000/03/07,1999.740,1,0
2033,NAD27(CGQ77) / UTM zone 19N,1444,projected,4400,,4609,16019,,,Large and medium scale topographic mapping and engineering survey.,Replaces NAD27 / UTM zone 19N (code 26719).,,OGP,2000/03/07,1999.740,1,0
2034,NAD27(CGQ77) / UTM zone 20N,1445,projected,4400,,4609,16020,,,Large and medium scale topographic mapping and engineering survey.,Replaces NAD27 / UTM zone 20N (code 26720).,,OGP,2000/03/07,1999.740,1,0
2035,NAD27(CGQ77) / UTM zone 21N,1446,projected,4400,,4609,16021,,,Large and medium scale topographic mapping and engineering survey.,Replaces NAD27 / UTM zone 21N (code 26721).,,OGP,2000/03/07,1999.740,1,0
2036,NAD83(CSRS98) / New Brunswick Stereo,1447,projected,4500,,4140,19946,,,Large and medium scale topographic mapping and engineering survey.,In use from 1999.,Service New Brunswick Land and Information Standards Manual,OGP,2000/03/07,1999.740 1999.900,1,1
2037,NAD83(CSRS98) / UTM zone 19N,1448,projected,4400,,4140,16019,,,Large and medium scale topographic mapping and engineering survey.,In use from 1999.,Service New Brunswick Land and Information Standards Manual,OGP,2000/03/07,1999.740 1999.900,1,1
2038,NAD83(CSRS98) / UTM zone 20N,1449,projected,4400,,4140,16020,,,Large and medium scale topographic mapping and engineering survey.,In use from 1999.,Service New Brunswick Land and Information Standards Manual,OGP,2000/03/07,1999.740 1999.900,1,1
2039,Israel / Israeli TM Grid,2603,projected,4400,,4141,18204,,,Large and medium scale topographic mapping and engineering survey.,Replaces Israeli CS Grid (EPSG code 28193).,Survey of Israel.,OGP,2002/06/22,1999.740 2002.340,1,0
2040,Locodjo 1965 / UTM zone 30N,1450,projected,4400,,4142,16030,,,Large and medium scale topographic mapping and engineering survey.,Replaced by Abidjan 87 / UTM 30N (EPSG code 2041).,IGN Paris,OGP,2000/03/07,1999.740,1,0
2041,Abidjan 1987 / UTM zone 30N,1450,projected,4400,,4143,16030,,,Large and medium scale topographic mapping and engineering survey.,Replaces Locodjo 65 / UTM 30N (EPSG code 2040).,IGN Paris,OGP,2000/03/07,1999.740,1,0
2042,Locodjo 1965 / UTM zone 29N,1451,projected,4400,,4142,16029,,,Large and medium scale topographic mapping and engineering survey.,Replaced by Abidjan 87 / UTM 29N (EPSG code 2043).,IGN Paris,OGP,2000/03/07,1999.740,1,0
2043,Abidjan 1987 / UTM zone 29N,1451,projected,4400,,4143,16029,,,Large and medium scale topographic mapping and engineering survey.,Replaces Locodjo 65 / UTM 29N (EPSG code 2042).,IGN Paris,OGP,2000/03/07,1999.740,1,0
2044,Hanoi 1972 / Gauss-Kruger zone 18,1452,projected,4530,,4147,16218,,,Large and medium scale topographic mapping and engineering survey.,Replaces use of Indian 1960 / UTM zone 48 after 1988. Replaced by VN-2000 / UTM zone 48N (CRS code 3405).,,OGP,2006/09/13,1999.740 2006.740,1,0
2045,Hanoi 1972 / Gauss-Kruger zone 19,1453,projected,4530,,4147,16219,,,Large and medium scale topographic mapping and engineering survey.,Replaces use of Indian 1960 / UTM zone 49 after 1988. Replaced by VN-2000 / UTM zone 48N (CRS code 3406).,,OGP,2006/09/13,1999.740 2006.840,1,0
2046,Hartebeesthoek94 / Lo15,1454,projected,6503,,4148,17515,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
2047,Hartebeesthoek94 / Lo17,1455,projected,6503,,4148,17517,,,"Large and medium scale topographic mapping, cadastral and engineering survey.",,"Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm",OGP,2000/03/07,1999.740 1999.960 1999.980 2000.040,1,0
