coord_sys_code,coord_sys_name,coord_sys_type,dimension,remarks,information_source,data_source,revision_date,change_id,deprecated
1024,"Cartesian 2D CS. Axes: easting, northing (M,P). Orientations east, north. UoM m.",Cartesian,2,Used in projected and engineering coordinate reference systems in Portuguese territories.,OGP,OGP,2009/11/14,2009.085,0
1025,"Cartesian 2D CS for south polar azimuthal lonO 140°E. Axes: X,Y. Orientations: X along 130°W, Y along 140°E meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2010/03/14,2009.034,0
1026,"Cartesian 2D CS for UPS north. Axes: E,N. Orientations: E along 90°E meridian, N along 180°E meridian. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2010/03/24,2010.022,0
1027,"Cartesian 2D CS for UPS south. Axes: E,N. Orientations: E along 90°E, N along 0°E meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2010/03/14,2010.022,0
1028,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: ydCl.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2011/07/22,2011.026,0
4400,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4401,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: chBnB.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4402,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: chSe.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4403,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: ftCla.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4404,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: ftGC.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4405,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: ftSe.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4406,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: km.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4407,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: lkCla.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4408,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: ydInd.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4409,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: ydSe.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2001/04/29,,0
4410,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: chSe(T).",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2006/07/24,,0
4460,"Cartesian 2D CS for north polar azimuthal lonO 0°E. Axes: E,N. Orientations: E along 90°E, N along 180°E meridians. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2008/09/19,,0
4461,"Cartesian 3D CS (ellipsoid-based Topocentric). Axes: easting, northing, topocentric height (U,V,W). Orientations: east, north, up. UoM: m.",Cartesian,3,"U = tangent to ellipsoidal surface at topocentric origin, positive east; V = tangent to ellipsoid surface at topocentric origin, positive north; and W = orthogonal to ellipsoidal surface passing through topocentric origin and positive up.",OGP,OGP,2007/11/01,,0
4462,"Cartesian 2D CS for north polar azimuthal lonO 90°E. Axes: X,Y. Orientations: X along 180°W, Y along 90°W meridians. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4463,"Cartesian 2D CS for north polar azimuthal lonO 10°E. Axes: X,Y. Orientations: X along 100°E, Y along 170°W meridians. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4464,"Cartesian 2D CS for north polar azimuthal lonO 180°E. Axes: X,Y. Orientations: X along 90°W, Y along 0°E meridians. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4465,"Cartesian 2D CS for north polar azimuthal lonO 40°W. Axes: X,Y. Orientations: X along 50°E, Y along 140°E meridians. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4466,"Cartesian 2D CS for north polar azimuthal lonO 100°W. Axes: X,Y. Orientations: X along 10°W, Y along 80°E meridians. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4467,"Cartesian 2D CS for north polar azimuthal lonO 150°W. Axes: X,Y. Orientations: X along 60°W, Y along 30°E meridians. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4468,"Cartesian 2D CS for north polar azimuthal lonO 45°W. Axes: X,Y. Orientations: X along 45°E, Y along 135°E meridians. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4469,"Cartesian 2D CS for north polar azimuthal lonO 0°E. Axes: X,Y. Orientations: X along 90°E, Y along 180°E meridians. UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4470,"Cartesian 2D CS for south polar azimuthal lonO 0°E. Axes: X,Y. Orientations: X along 90°E, Y along 0°E meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4471,"Cartesian 2D CS for south polar azimuthal lonO 165°W. Axes: E,N. Orientations: E along 75°W, N along 165°W meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4472,"Cartesian 2D CS for south polar azimuthal lonO 150°W. Axes: E,N. Orientations: E along 60°W, N along 150°W meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4473,"Cartesian 2D CS for south polar azimuthal lonO 135°W. Axes: E,N. Orientations: E along 45°W, N along 135°W meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4474,"Cartesian 2D CS for south polar azimuthal lonO 105°W. Axes: E,N. Orientations: E along 15°W, N along 105°W meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4475,"Cartesian 2D CS for south polar azimuthal lonO 90°W. Axes: E,N. Orientations: E along 0°E, N along 90°W meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4476,"Cartesian 2D CS for south polar azimuthal lonO 75°W. Axes: E,N. Orientations: E along 15°E, N along 75°W meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
4477,"Cartesian 2D CS for south polar azimuthal lonO 45°W. Axes: E,N. Orientations: E along 45°E, N along 45°W meridians. UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2008/06/23,2008.045,0
