coord_op_code,coord_op_name,coord_op_type,source_crs_code,target_crs_code,coord_tfm_version,coord_op_variant,area_of_use_code,coord_op_scope,coord_op_accuracy,coord_op_method_code,uom_code_source_coord_diff,uom_code_target_coord_diff,remarks,information_source,data_source,revision_date,change_id,show_operation,deprecated
101,deg to DMSH,conversion,,,,,1262,Convert decimal degrees to and from degrees minutes seconds hemisphere representation.,0,9637,,,,OGP,OGP,2002-11-22,,1,1
102,degH to DMSH,conversion,,,,,1262,Convert degree hemisphere representation to and from degrees minutes seconds hemisphere.,0,9638,,,,OGP,OGP,2002-11-22,,1,1
103,Hdeg to DMSH,conversion,,,,,1262,Convert hemisphere degree representation to and from degrees minutes seconds hemisphere representation.,0,9639,,,,OGP,OGP,2002-11-22,,1,1
104,DM to DMSH,conversion,,,,,1262,Convert degree minute representation to and from degrees minutes seconds hemisphere representation.,0,9640,,,,OGP,OGP,2002-11-22,,1,1
105,DMH to DMSH,conversion,,,,,1262,Convert degree minute hemisphere representation to and from degrees minutes seconds hemisphere representation.,0,9641,,,,OGP,OGP,2002-11-22,,1,1
106,HDM to DMSH,conversion,,,,,1262,Convert hemisphere degree minute representation to and from degrees minutes seconds hemisphere representation.,0,9642,,,,OGP,OGP,2002-11-22,,1,1
107,DMS to DMSH,conversion,,,,,1262,Convert degree minute second representation to and from degrees minutes seconds hemisphere representation.,0,9643,,,,OGP,OGP,2002-11-22,,1,1
108,HDMS to DMSH,conversion,,,,,1262,Convert hemisphere degree minute second representation to and from degrees minutes seconds hemisphere representation.,0,9644,,,,OGP,OGP,2002-11-22,,1,1
1024,MGI to ETRS89 (4),transformation,4312,4258,LBD-Aut Sty,4,1543,For applications to an accuracy of 1 metre.,1,9607,,,Parameter values from MGI to WGS 84 (8) (tfm code 1194). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation. Information source gives scale as -2.388739 ppm.,Amt der Steiermarkischen Landesregierung; GIS-STMK. www.gis.steiermark.at,OGP,2008-06-24,,1,0
1025,ED50 to ED87 (1),transformation,4230,4231,5Nat-NSea-90,1,2330,?,,9630,9102,9102,Latitude differences from ED50 to ED87 in decimal degrees given by coefficients A0 through A14 where m=(latitude - 55) degrees and n=longitude in decimal degrees. Longitude differences given through coefficients B0 through B14.,Norwegian Mapping Authority publication 1990:1,OGP,2002-06-22,1999.740 2000.550 2002.400,1,1
