"CHANGE_ID","REPORT_DATE","DATE_CLOSED","REPORTER","REQUEST","TABLES_AFFECTED","CODES_AFFECTED","COMMENT","ACTION"
98.16,1998-05-18 00:00:00,1998-05-18 00:00:00,Roel Nicolai; Shell,Minor change to text describing formula,Trf_method,9606,Change applies to text; the formula is unchanged.,Added phrase in 3rd paragraph to clarify convention common in E&P practice.
98.17,1998-06-03 00:00:00,1998-06-30 00:00:00,Andreas Kasparz; FEZ Potsdam.,Add DHDN to WGS 84 geodetic transformation.,Trf_nonpoly  Geod_trf,,Also added Pulkovo 1942 to WGS 84 for former East Germany.,Added non-polynomial transformations 1309 1310; transformation paths 8633-8636 and geodetic transformations 8233-8236.
98.18,1998-06-03 00:00:00,1998-06-30 00:00:00,Andreas Kasparz; FEZ Potsdam.,Amend codes to long integer.,All,,EPSG codes can all be accomodated with a short integer.  EPSG will therefore not change its database declarations.   User-defined extensions to the EPSG list can be accomodated by users declaring all code fields as long integer.,
98.19,1998-06-03 00:00:00,1998-06-30 00:00:00,Andreas Kasparz; FEZ Potsdam.,Extend ProjCS zones based on Pulkovo 1942 GeogCS.,HorizCS,,,Added non-polynomial transformations 16202 16203 16302 16303 and projCS 28402 28403 28462 28463.
98.2,1998-06-30 00:00:00,1998-06-30 00:00:00,EPSG,Correct NADCON entries,Trf_non-poly,1241  1243,,Moved file names from remarks tp parameter fields.
98.201,1998-06-30 00:00:00,1998-06-30 00:00:00,EPSG,Delete erroneous NADCON WGS84 entries.,Trf_nonpoly  Trf_path  Geod_trf,1242  1244  8145  8147  8545  8547,,Records deleted.
98.203,1998-06-30 00:00:00,1998-06-30 00:00:00,EPSG,Add NAD83 to ITRF,Trf_nonpoly  Trf_path  Geod_trf,,WGS 84 considered coincident with ITRF for E&P purposes.,"Added non-polynomial transformation 1308, transformation path 8630-8632 and geodetic transformation 8230-8232."
98.102,1998-04-16 00:00:00,1998-04-16 00:00:00,EPSG,Add Trinidad datum transformations from older edition of DMA TR8350.2,Trf_nonpoly  Geod_trf,1192  8092,EPSG believes that the values for the Naparima to WGS 84 transformation from DMA TR8350.2 versions of 1991-97 contain a blunder.  However we believe that the values from the 1987 edition exclude this blunder.,Added  non-polynomial transformation 1307; geodetic transformation 8229.  Added cautionary note to non-polynomial transformation 1192 and geodetic transformation 8092.
98.21,1998-06-30 00:00:00,1998-06-30 00:00:00,EPSG,Add Common Offshore transformation,Trf_nonpoly  Trf_path  Geod_trf,,,"Added non-polynomial transformation 1311, transformation path 8637 and geodetic transformation 8237."
2000.35,2000-03-07 00:00:00,2000-03-07 00:00:00,EPSG,Add Trinidad and Tobago data,,,,Added geod_datums 6157-58; geogCS 4157-58; projCS 2066-67.
98.22,1998-07-21 00:00:00,1998-11-11 00:00:00,Melita Kennedy; ESRI,Check Michigan State Plane units,Ellipsoid  HorizCS  Trf_nonpoly  UOM_length,7009  9004  12101-3  12111-3  26801-3  26811-3,,Changed units for Clarke 1866 Michigan ellipsoid and all six NAD27 Michigan State Plane zones from Modified American foot to US Survey Foot.  Deleted Modified American foot.
97.1399993896484,1997-04-11 00:00:00,1997-04-11 00:00:00,EPSG,Amend name of ProjCS,Horiz_CS,30800,Longitude of origin for transformation 19929 is based on Stockholm meridian,Changed HorizCS name from RT38 / Swedish National Grid to RT38 (Stockholm) / Swedish National Grid.
97.1500015258789,1997-04-16 00:00:00,1997-07-22 00:00:00,Leon Portokalakis; Public Petroleum Corporation of Greece,Add Greek coordinate systems,Geod_datum  PMeridian  Horiz_CS  Vert_datum  Vert_CS Trf_nonpoly  Trf_path  Geod_trf,1270  2100  4120  4815  5115  5716  6120  6121  8179  8579  8912  19930,Geodetic transformation to be added when sense of parameters clarified.,Added geodetic datums 6120 and 6121; prime meridian 8912; geogCS 4120  4121 and 4815; proj 19930; projCS 2020; vertical datum 5115; vertical CS 5716; trf_nonpoly 1270 1272; trf_path 8570 8581; geod_trf 8179 8181.
97.1600036621094,1997-04-16 00:00:00,1997-06-16 00:00:00,EPSG,Correct Namibian ProjCS; add transformation to WGS84,Ellipsoid  Trf_nonpoly  Horiz_CS  UOM_length  Trf_path  Geod_trf,1271  7006  8180  8580  9031 17611-17625 (odd numbers);  29371-29385 (odd numbers),,Add new linear unit 9031 German legal metre (GLM).  Add remark to ellipsoid 7006 regarding  GLM.  Amend proj and projCS linear units from metre to German legal metre.  Add new trf_nonpoly 1271; trf_path 8580; geod_trf 8180.
