coord_axis_name_code,coord_axis_name,description,remarks,information_source,data_source,revision_date,change_id,deprecated
9901,Geodetic latitude,"Angle from the equatorial plane to the perpendicular to the ellipsoid through a given point, northwards usually treated as positive.",Used in geographic 2D and geographic 3D coordinate reference systems.,OGP,OGP,2000-03-07,,0
9902,Geodetic longitude,"Angle from the prime meridian plane to the meridian plane passing through the given point, eastwards usually treated as positive.",Used in geographic 2D and geographic 3D coordinate reference systems.,OGP,OGP,2000-03-07,,0
9903,Ellipsoidal height,Distance of a point from the ellipsoid measured along the perpendicular from the ellipsoid to this point.  Positive if upwards or outside of the ellipsoid.,"Used only as part of an ellipsoidal 3D coordinate system in a geographic 3D coordinate reference system, never on its own.",OGP based on ISO 19111,OGP,2000-03-07,,0
9904,Gravity-related height,"Height influenced by the Earth's gravity field.  In particular, orthometric height or normal height which are both approximations of the distance of a point above sea level. Positive upwards.",Used in a 1D vertical coordinate system.,"ISO 19111 ""Geographical information - Spatial referencing by coordinates"".",OGP,2000-03-07,,0
9905,Gravity-related depth,"Depth influenced by the Earth's gravity field, positive downwards.","Similar to gravity-related height, but with the positive increments in the opposite direction.",OGP,OGP,2000-03-07,,0
9906,Easting,East pointing axis used in 2D projected coordinate systems.,,OGP,OGP,2000-03-07,,0
9907,Northing,North pointing axis used in 2D projected coordinate systems.,,OGP,OGP,2000-03-07,,0
9908,Westing,West pointing axis used in 2D projected coordinate systems (e.g. south oriented transverse Mercator),,OGP,OGP,2000-03-07,,0
9909,Southing,South pointing axis used in 2D projected coordinate systems (e.g. south oriented transverse Mercator),,OGP,OGP,2000-03-07,,0
9910,Geocentric X,"First axis of a right-handed earth centered 3D cartesian coordinate system; lies in the zero-longitude plane, such that a vector pointing in the direction of the positive X will have a longitude of zero.",,OGP,OGP,2000-03-07,,0
9911,Geocentric Y,"Second axis of a right-handed earth centered 3D cartesian coordinate system; perpendicular to the zero-longitude plane, pointing eastward.",,OGP,OGP,2000-03-07,,0
9912,Geocentric Z,"Third axis of a right-handed earth centered 3D coordinate system; perpendicular to both X and Y, such that it completes a right-handed coordinate system, the Z-axis is approximately parallel to the earth's rotation axis, positive towards the north pole.",,OGP,OGP,2000-03-07,,0
9913,First local axis,First axis of any local coordinate system.,First and second local coordinate axes are assumed to be horizontal and may be supplemented by 'local height' or 'local depth' to form a local 3D coordinate system.,OGP,OGP,2000-03-07,,0
9914,Second local axis,Second axis of any local coordinate system.,,OGP,OGP,2000-03-07,,0
9915,Third local axis,Third axis of any local coordinate system.,"If the local coordinate system is 3-dimensional, then the first and second local coordinate axes shall be horizontal and the third axis vertical.",OGP,OGP,2000-06-22,,0
9916,Local height,"Height influenced by the Earth's gravity field, positive upwards.",Differs from gravity-related height in having an origin offset from sea level.,OGP,OGP,2000-03-07,,0
9917,Local depth,"Depth influenced by the Earth's gravity field, positive downwards.","Similar to local height, but with the positive increments in the opposite direction.",OGP,OGP,2000-03-07,,0
9918,Plant East,An axis of a local engineering grid 2D or 3D coordinate system.  Plant East is 90 degrees clockwise from the Plant North axis when viewed from above the plane containing the two axes.,Not necessarily orientated to geographical east.,OGP,OGP,2000-06-23,,0
9919,Plant North,An axis of a local engineering grid 2D or 3D coordinate system.  Plant North is 90 degrees counter-clockwise from the Plant East axis when viewed from above the plane containing the two axes.,Not necessarily orientated to geographical north.,OGP,OGP,2000-06-23,,0
9920,Bin grid I,First axis of seismic bin grid;  positive I is 90 degrees clockwise from positive J-axis when viewed from above the plane containing the two axes.,,OGP,OGP,2000-03-07,,0
9921,Bin grid J,Second axis of seismic bin grid;  positive J is 90 degrees counter-clockwise from positive I-axis when viewed from above the plane containing the two axes.,,OGP,OGP,2000-03-07,,0
9922,Inline,First axis of a seismic bingrid.,"Inline is an ambiguous term, varying by usage.",OGP,OGP,2000-03-07,,0
9923,Crossline,Second axis of a seismic bingrid.,"Crossline is an ambiguous term, varying by usage.",OGP,OGP,2000-03-07,,0
9924,Platform East,An axis of an offshore platform engineering grid 2D or 3D coordinate system.  Platform East is 90 degrees clockwise from the Platform North axis when viewed from above the plane containing the two axes.,Not necessarily orientated to geographical east.,OGP,OGP,2000-06-23,,0
9925,Platform North,An axis of an offshore platform engineering grid 2D or 3D coordinate system.  Platform North is 90 degrees counter-clockwise from the Platform East axis when viewed from above the plane containing the two axes.,Not necessarily orientated to geographical east.,OGP,OGP,2000-06-23,,0
9926,Spherical latitude,"Angle from the equatorial plane to the geocentric point vector, northwards usually treated as positive.",,Open GIS Consortium,OGP,2002-02-12,,0
9927,Spherical longitude,"Angle from the prime meridian plane to the meridian plane passing through a point, eastwards usually treated as positive.",,Open GIS Consortium,OGP,2002-02-12,,0
9928,Geocentric radius,The distance from the (geocentric) coordinate system origin to a point. The third axis of a spherical coordinate system.,Used to avoid the singularity when the two angles in a 3D polar coordinate system lie in the same plane.,Open GIS Consortium,OGP,2002-02-12,,0
9929,Topocentric height,Vertical axis of a Cartesian 3D CS which is perpendicular to the ellipsoid and passes through the topocentric origin. Positive is up at the topocentric origin.,"Used in topocentric coordinate-systems related geometrically to the ellipsoid, as opposed to those that are gravity-related. If the topocentric origin is on the ellipsoid surface, topocentric height = ellipsoidal height.",OGP,OGP,2007-10-29,,0
9930,Topocentric East,East pointing axis used in topocentric coordinate systems.,,OGP,OGP,2007-10-29,,0
9931,Topocentric North,Norh pointing axis used in topocentric coordinate systems.,,OGP,OGP,2007-10-29,,0
