coord_op_code,coord_op_method_code,parameter_code,parameter_value,param_value_file_ref,uom_code
1024,9607,8605,601.705,,9001
1024,9607,8606,84.263,,9001
1024,9607,8607,485.227,,9001
1024,9607,8608,-4.7354,,9104
1024,9607,8609,-1.3145,,9104
1024,9607,8610,-5.393,,9104
1024,9607,8611,-2.3887,,9202
1025,9630,8617,55,,9102
1025,9630,8618,0,,9102
1025,9630,8623,-5.56098e-06,,9203
1025,9630,8624,-1.55391e-06,,9203
1025,9630,8625,-4.0262e-07,,9203
1025,9630,8626,-5.09693e-07,,9203
1025,9630,8627,-8.19775e-07,,9203
1025,9630,8628,-2.47592e-07,,9203
1025,9630,8629,1.36682e-07,,9203
1025,9630,8630,1.86198e-07,,9203
1025,9630,8631,1.2335e-07,,9203
1025,9630,8632,5.68797e-08,,9203
1025,9630,8633,-2.32217e-09,,9203
1025,9630,8634,-7.69931e-09,,9203
1025,9630,8635,-7.86953e-09,,9203
1025,9630,8636,-6.12216e-09,,9203
1025,9630,8637,-4.01382e-09,,9203
1025,9630,8639,1.48944e-05,,9203
1025,9630,8640,2.68191e-06,,9203
1025,9630,8641,2.4529e-06,,9203
1025,9630,8642,2.944e-07,,9203
1025,9630,8643,1.5226e-06,,9203
1025,9630,8644,9.10592e-07,,9203
1025,9630,8645,-3.82241e-07,,9203
1025,9630,8646,-8.51732e-07,,9203
1025,9630,8647,-5.66713e-07,,9203
1025,9630,8648,-1.85188e-07,,9203
1025,9630,8649,2.84312e-08,,9203
1025,9630,8650,6.84853e-08,,9203
1025,9630,8651,5.00828e-08,,9203
1025,9630,8652,4.15937e-08,,9203
1025,9630,8653,7.62236e-09,,9203
1026,9617,8623,8.4386918,,9203
1026,9617,8624,-0.0972,,9203
1026,9617,8625,-0.03672,,9203
1026,9617,8626,4.06e-05,,9203
1026,9617,8638,-13276.58,,9104
1026,9617,8639,2.6620443,,9203
1026,9617,8640,0.07992,,9203
1026,9617,8641,-0.0036,,9203
1026,9617,8642,-1.09e-05,,9203
1027,9617,8623,11.328779,,9203
1027,9617,8624,-0.1674,,9203
1027,9617,8625,-0.03852,,9203
1027,9617,8626,3.79e-05,,9203
1027,9617,8638,-13276.58,,9104
1027,9617,8639,2.5079425,,9203
